# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	125272
#@/user_id	10b11703-f11b-4ced-93f3-8972fad5e0e5
a 	啊	c=1470 d=8.42141 t=125272
bi tian 	必填	c=2 d=1.1151e-17 t=125272
bi wo 	比我	c=1 d=1.48879e-123 t=125272
bi xu 	必須	c=17 d=0.244143 t=125272
bi xu yao 	逼需要	c=1 d=5.61616e-37 t=125272
bi yao 	必要	c=15 d=1.01043 t=125272
bi ye 	畢業	c=12 d=1.17911e-74 t=125272
bi ye sheng 	畢業生	c=1 d=6.48194e-106 t=125272
bi yin 	鼻音	c=1 d=5.57151e-237 t=125272
bi yong 	辟雍	c=1 d=3.35623e-39 t=125272
bi yu 	比喻	c=1 d=2.71388e-216 t=125272
bi zhi 	壁紙	c=1 d=0.0028799 t=125272
bi zi 	鼻子	c=7 d=1.03615e-06 t=125272
bian 	便	c=3 d=1.1864e-99 t=125272
bian 	扁	c=1 d=6.00034e-227 t=125272
bian 	編	c=0 d=1.64923e-34 t=125272
bian 	變	c=11 d=1.21321e-09 t=125272
bian 	邊	c=21 d=0.514274 t=125272
bian bian 	便便	c=2 d=6.9583e-59 t=125272
bian bian ba 	便便吧	c=1 d=6.99318e-58 t=125272
bian bie 	辨別	c=1 d=8.28173e-77 t=125272
bian chen 	便陳	c=5 d=7.67866e-94 t=125272
bian cheng 	編程	c=21 d=1.23586e-13 t=125272
bian cheng 	變成	c=5 d=1.5898e-13 t=125272
bian cheng 	邊城	c=2 d=1.63282e-33 t=125272
bian cheng yu yan 	編程語言	c=1 d=3.05707e-117 t=125272
bian da 	變大	c=1 d=5.7541e-234 t=125272
bian di 	貶低	c=1 d=3.43395e-73 t=125272
bian dong 	變動	c=4 d=1.33953e-86 t=125272
bian dou 	扁豆	c=1 d=4.8273e-21 t=125272
bian geng 	變更	c=2 d=1.72988e-54 t=125272
bian hua 	變化	c=5 d=7.23751e-133 t=125272
bian hui 	便會	c=1 d=5.91215e-53 t=125272
bian ji 	編輯	c=27 d=8.89758e-14 t=125272
bian ji qi 	編輯器	c=5 d=9.33029e-09 t=125272
bian jie 	邊界	c=1 d=2.973e-230 t=125272
bian ju 	編劇	c=1 d=6.3828e-13 t=125272
bian kuang 	邊框	c=2 d=2.43298e-19 t=125272
bian li 	遍歷	c=3 d=6.5602e-12 t=125272
bian liang 	變量	c=0 d=2.81974e-226 t=125272
bian ma 	編碼	c=10 d=0.000282306 t=125272
bian se 	變色	c=1 d=1.88343e-07 t=125272
bian se long 	變色龍	c=1 d=1.81865e-07 t=125272
bian shi 	辨識	c=1 d=7.93492e-250 t=125272
bian tai 	變態	c=2 d=7.91924e-219 t=125272
bian wei 	變爲	c=1 d=4.16693e-55 t=125272
bian xing 	變形	c=1 d=1.4992e-58 t=125272
bian xing 	變性	c=1 d=1.50672e-58 t=125272
bian yi 	編譯	c=5 d=2.11174e-51 t=125272
bian yi qi 	編譯器	c=1 d=1.02208e-51 t=125272
bian yu 	便於	c=1 d=1.26465e-27 t=125272
bian yuan 	邊緣	c=1 d=6.18769e-177 t=125272
biao 	標	c=1 d=1.29003e-143 t=125272
biao 	表	c=17 d=2.48171e-17 t=125272
biao 	飆	c=3 d=6.9749e-86 t=125272
biao bai 	表白	c=2 d=8.50523e-08 t=125272
biao ben 	標本	c=1 d=5.14069e-202 t=125272
biao cheng 	標稱	c=1 d=7.72603e-54 t=125272
biao da 	表達	c=7 d=6.07854e-56 t=125272
biao da qi lai 	表達起來	c=1 d=4.72405e-237 t=125272
biao dan 	表單	c=13 d=2.01478e-06 t=125272
biao di 	表弟	c=5 d=1.69651e-42 t=125272
biao dian 	標點	c=6 d=1.30476e-05 t=125272
biao gong 	表功	c=1 d=9.51014e-204 t=125272
biao han 	彪悍	c=1 d=2.6539e-159 t=125272
biao ji 	標記	c=1 d=1.30393e-122 t=125272
biao mei 	表妹	c=1 d=2.09038e-57 t=125272
biao mian 	表面	c=2 d=0.0483156 t=125272
biao niao 	飆尿	c=1 d=1.11167e-157 t=125272
biao qian 	標籤	c=8 d=0.0357931 t=125272
biao qian ye 	標籤也	c=2 d=7.40243e-80 t=125272
biao qing 	表情	c=10 d=0.0359725 t=125272
biao qing qing 	表輕輕	c=1 d=4.68292e-193 t=125272
biao shi 	標識	c=1 d=1.06965e-233 t=125272
biao shi 	表示	c=42 d=0.00201931 t=125272
biao song 	表送	c=1 d=1.86788e-174 t=125272
biao tai 	表態	c=1 d=8.5584e-140 t=125272
biao ti 	標題	c=14 d=2.49394e-20 t=125272
biao xian 	表現	c=2 d=2.59215e-88 t=125272
biao yan 	表演	c=4 d=0.00280879 t=125272
biao yang 	表揚	c=3 d=0.00701293 t=125272
biao zhun 	標準	c=8 d=3.63959e-22 t=125272
bie 	別	c=91 d=0.721739 t=125272
bie 	憋	c=2 d=2.97509e-62 t=125272
bie chi 	別吃	c=1 d=1.38296e-226 t=125272
bie chu 	別處	c=3 d=4.9488e-21 t=125272
bie he 	別和	c=1 d=3.4746e-35 t=125272
bie ji 	別急	c=1 d=2.86301e-22 t=125272
bie li 	別離	c=1 d=9.94578e-84 t=125272
bie lin se 	別吝嗇	c=1 d=1.20044e-61 t=125272
bie ming 	別名	c=5 d=6.28252e-52 t=125272
bie niao 	憋尿	c=1 d=1.4554e-62 t=125272
bie qi 	憋氣	c=1 d=4.14561e-171 t=125272
bie ren 	別人	c=27 d=4.5864e-07 t=125272
bie shu 	別墅	c=1 d=8.72499e-14 t=125272
bie shui 	別睡	c=1 d=1 t=124169
bie si 	憋死	c=2 d=7.81252e-62 t=125272
bie zhe 	憋着	c=1 d=1.2625e-07 t=125272
bin guan 	賓館	c=17 d=0.000305851 t=125272
bin hai 	濱海	c=1 d=6.72906e-106 t=125272
bin hai lu 	濱海路	c=1 d=6.76278e-105 t=125272
bin tian 	濱田	c=1 d=9.59716e-76 t=125272
bing 	丙	c=1 d=1.49696e-11 t=125272
bing 	並	c=4 d=3.46976e-48 t=125272
bing 	冰	c=1 d=3.48715e-48 t=125272
bing 	病	c=12 d=2.81654e-06 t=125272
bing bing 	冰冰	c=1 d=1.91855e-136 t=125272
bing bu shi 	並不是	c=1 d=3.16986e-249 t=125272
bing chuan 	冰川	c=4 d=8.62352e-131 t=125272
bing du xing 	病毒性	c=1 d=2.10601e-27 t=125272
bing er 	冰兒	c=1 d=2.76068e-35 t=125272
bing fei 	並非	c=1 d=6.1153e-215 t=125272
bing gan 	餅乾	c=6 d=7.10295e-06 t=125272
bing guan 	丙綸	c=3 d=5.82947e-05 t=125272
bing hai 	病害	c=1 d=5.3414e-182 t=125272
bing he 	冰河	c=2 d=4.31495e-131 t=125272
bing ju 	病句	c=1 d=1.38683e-200 t=125272
bing ru 	併入	c=1 d=4.98925e-115 t=125272
bing shui 	冰水	c=1 d=1.03983e-224 t=125272
bing tai 	病態	c=5 d=0.00600598 t=125272
bing xiu 	病休	c=3 d=3.9481e-210 t=125272
bo 	勃	c=1 d=2.35658e-26 t=125272
bo 	博	c=1 d=2.12952e-128 t=125272
bo 	撥	c=1 d=1.11317e-28 t=125272
bo 	播	c=1 d=4.47549e-161 t=125272
bo 	波	c=1 d=3.28378e-246 t=125272
bo bo 	啵啵	c=1 d=5.38385e-40 t=125272
bo bo 	缽缽	c=2 d=5.83964e-143 t=125272
bo da 	撥打	c=1 d=3.08924e-05 t=125272
bo duo li ge 	波多黎各	c=1 d=6.72748e-161 t=125272
bo fa 	勃發	c=1 d=9.30627e-155 t=125272
bo fang 	播放	c=16 d=5.43536e-05 t=125272
bo fang qi 	播放器	c=1 d=6.4164e-251 t=125272
bo fang ye 	播放頁	c=17 d=1.19179e-19 t=125272
bo fang ye ye 	播放爺爺	c=1 d=3.28165e-245 t=125272
bo ge 	伯格	c=0 d=1.29645e-26 t=125272
bo ke 	博客	c=2 d=1.29839e-72 t=125272
bo ke 	播客	c=46 d=3.0598e-70 t=125272
bo ke fang 	播客放	c=1 d=7.10233e-240 t=125272
bo ke fang ye 	波客房頁	c=1 d=2.93272e-246 t=125272
bo li 	玻璃	c=2 d=6.2115e-134 t=125272
bo lin 	柏林	c=5 d=0.000521961 t=125272
bo luo 	菠蘿	c=2 d=1.9346e-20 t=125272
bo mo 	薄膜	c=1 d=1.72468e-118 t=125272
bo qu 	博取	c=1 d=4.96031e-76 t=125272
bo shui jie 	播水解	c=2 d=9.94731e-159 t=125272
bo si 	波斯	c=0 d=3.5112e-34 t=125272
bo si deng 	波斯燈	c=1 d=1.75999e-33 t=125272
bo si deng 	波斯登	c=1 d=1.76881e-33 t=125272
bo wu guan 	博物館	c=3 d=0.0051953 t=125272
bo xi ke 	播稀客	c=1 d=2.18253e-182 t=125272
bo zi 	脖子	c=1 d=2.28774e-177 t=125272
bu 	不	c=649 d=2.3123 t=125272
bu 	步	c=5 d=2.61784e-57 t=125272
bu 	補	c=10 d=0.00122477 t=125272
bu 	部	c=4 d=8.83398e-13 t=125272
bu an yi 	不安逸	c=1 d=3.82063e-93 t=125272
bu ao 	不奧	c=2 d=1.68829e-220 t=125272
bu ao cun dang 	不奧存檔	c=1 d=6.76997e-235 t=125272
bu ba 	不把	c=2 d=8.43152e-133 t=125272
bu ban 	補辦	c=1 d=1 t=123328
bu bao 	不報	c=0 d=5.18337e-212 t=125272
bu bao cuo 	不報錯	c=1 d=5.20935e-211 t=125272
bu bi 	不必	c=6 d=6.93325e-45 t=125272
bu chang 	補償	c=3 d=1.34752e-09 t=125272
bu chang shi 	不嘗試	c=1 d=4.82569e-164 t=125272
bu chi 	不吃	c=5 d=2.72755e-40 t=125272
bu chi 	不遲	c=1 d=2.30743e-219 t=125272
bu chi fan 	不吃飯	c=1 d=1.07569e-123 t=125272
bu chong 	補充	c=2 d=1.06152e-114 t=125272
bu chou 	不愁	c=1 d=3.75558e-185 t=125272
bu chu 	不出	c=2 d=2.69307e-08 t=125272
bu chu lai 	不出來	c=1 d=1.0461e-90 t=125272
bu chu qu 	不出去	c=1 d=4.43203e-251 t=125272
bu chu xian 	不出先	c=1 d=1.85013e-238 t=125272
bu chuan 	不傳	c=3 d=2.14251e-82 t=125272
bu chuan 	不穿	c=1 d=1.22741e-234 t=125272
bu cou 	不湊	c=1 d=1.72041e-177 t=125272
bu cu 	不粗	c=4 d=8.51164e-105 t=125272
bu cuo 	不錯	c=139 d=0.186445 t=125272
bu da 	不大	c=4 d=5.79016e-43 t=125272
bu da rao 	不打擾	c=1 d=1.61209e-206 t=125272
bu da suan 	不打算	c=1 d=6.05377e-08 t=125272
bu dai 	不帶	c=3 d=8.23429e-127 t=125272
bu dai biao 	不代表	c=1 d=2.17732e-07 t=125272
bu dao 	不到	c=17 d=0.579842 t=125272
bu dao jia 	不到家	c=1 d=2.03919e-30 t=125272
bu de 	不得	c=2 d=2.10238e-62 t=125272
bu deng 	不登	c=1 d=1.55726e-152 t=125272
bu deng 	不等	c=1 d=1.85571e-09 t=125272
bu di 	不低	c=1 d=6.9887e-168 t=125272
bu di 	不敵	c=1 d=6.95385e-168 t=125272
bu dian 	不點	c=1 d=6.09952e-214 t=125272
bu diao 	不弔	c=2 d=4.91895e-07 t=125272
bu diao 	不掉	c=0 d=1.54535e-239 t=125272
bu diao yong 	不掉用	c=1 d=1.5531e-238 t=125272
bu ding 	不定	c=3 d=1.1652e-34 t=125272
bu ding 	補丁	c=3 d=1.16038e-44 t=125272
bu dong 	不動	c=3 d=0.0135009 t=125272
bu dou 	不都	c=3 d=7.63622e-181 t=125272
bu dou 	布兜	c=4 d=8.03183e-187 t=125272
bu dou shi 	不都是	c=1 d=9.62731e-201 t=125272
bu du 	不讀	c=1 d=1.46006e-129 t=125272
bu duan 	不斷	c=0 d=1.30825e-250 t=125272
bu duan wang 	不斷往	c=1 d=1.3148e-249 t=125272
bu dui 	不對	c=9 d=1.73433e-27 t=125272
bu dui cheng 	不對稱	c=1 d=9.8465e-113 t=125272
bu duo 	不多	c=7 d=1.60495e-07 t=125272
bu e 	不餓	c=2 d=1.64436e-57 t=125272
bu e jing 	不扼頸	c=1 d=8.12551e-147 t=125272
bu fa 	不發	c=2 d=7.79262e-243 t=125272
bu fa 	步伐	c=1 d=3.74883e-252 t=125272
bu fa 	補發	c=1 d=1.77932e-132 t=125272
bu fang bian 	不方便	c=1 d=9.41041e-227 t=125272
bu fei 	不菲	c=1 d=5.05363e-60 t=125272
bu fen 	不分	c=1 d=5.59944e-237 t=125272
bu fen 	部分	c=7 d=1.28779e-05 t=125272
bu fu gai 	不覆蓋	c=1 d=5.30009e-32 t=125272
bu fu he 	不符合	c=1 d=5.35609e-38 t=125272
bu gai 	不改	c=2 d=1.59708e-206 t=125272
bu gan 	不幹	c=1 d=2.08541e-29 t=125272
bu gan 	不敢	c=12 d=1.72578e-08 t=125272
bu gan nv er 	不乾女兒	c=1 d=2.4522e-229 t=125272
bu gao 	不高	c=6 d=1.00065 t=125272
bu gao xing 	不高興	c=1 d=5.73078e-10 t=125272
bu gei 	不給	c=9 d=1.51175e-09 t=125272
bu gei xiu 	不給休	c=1 d=1.44534e-245 t=125272
bu gen 	不跟	c=2 d=0.0237541 t=125272
bu geng xin 	不更新	c=1 d=1.87744e-234 t=125272
bu gong 	布宮	c=1 d=1.38961e-106 t=125272
bu gong zuo 	不工作	c=1 d=1.9391e-173 t=125272
bu gou 	不夠	c=21 d=0.711109 t=125272
bu gou duo 	不夠多	c=1 d=3.02317e-221 t=125272
bu gou gao 	不夠高	c=1 d=3.46731e-216 t=125272
bu gou hao 	不夠好	c=1 d=1.41022e-44 t=125272
bu gou yong 	不夠用	c=3 d=0.609982 t=125272
bu gu 	不顧	c=4 d=5.29221e-60 t=125272
bu gu o 	不顧哦	c=1 d=5.9911e-62 t=125272
bu guan 	不管	c=9 d=0.46786 t=125272
bu guan 	不關	c=1 d=1.24071e-08 t=125272
bu guang 	不光	c=1 d=2.09211e-96 t=125272
bu gui 	不歸	c=1 d=9.12511e-159 t=125272
bu gui 	不貴	c=4 d=1.76917e-06 t=125272
bu guo 	不過	c=90 d=0.198015 t=125272
bu guo qu 	不過去	c=3 d=4.35698e-189 t=125272
bu ha 	不哈	c=1 d=2.40895e-108 t=125272
bu hao 	不好	c=47 d=0.000389752 t=125272
bu hao chi 	不好吃	c=1 d=5.7731e-214 t=125272
bu hao jia 	不好加	c=1 d=2.69895e-63 t=125272
bu hao kan 	不好看	c=1 d=2.19087e-168 t=125272
bu hao shuo 	不好說	c=1 d=1.8491e-114 t=125272
bu hao wan 	不好玩	c=2 d=7.03228e-06 t=125272
bu hao xiao 	不好小	c=3 d=8.90219e-130 t=125272
bu hao xiao 	不好笑	c=1 d=7.67499e-123 t=125272
bu hao yi si 	不好意思	c=3 d=3.99172e-79 t=125272
bu hao yong 	不好用	c=1 d=8.3565e-212 t=125272
bu he li 	不合理	c=2 d=8.58668e-120 t=125272
bu he shi 	不合適	c=4 d=6.62839e-16 t=125272
bu hu 	不胡	c=2 d=5.59921e-119 t=125272
bu hua suan 	不划算	c=1 d=2.61252e-180 t=125272
bu hua zhuang 	不化妝	c=1 d=3.90976e-129 t=125272
bu huan 	不換	c=2 d=2.93398e-16 t=125272
bu hui 	不回	c=4 d=0.242926 t=125272
bu hui 	不會	c=110 d=0.60356 t=125272
bu hui ba 	不會吧	c=1 d=2.5738e-122 t=125272
bu hui jia 	不回家	c=1 d=1.64586e-09 t=125272
bu hui wen 	不會問	c=1 d=2.3721e-15 t=125272
bu ji 	不及	c=1 d=3.14119e-201 t=125272
bu ji 	不急	c=5 d=0.0023461 t=125272
bu ji de 	不記得	c=3 d=1.01753e-28 t=125272
bu jia 	不佳	c=0 d=2.15047e-156 t=125272
bu jia 	不加	c=1 d=2.73973e-63 t=125272
bu jia ban 	不佳辦	c=1 d=2.16125e-155 t=125272
bu jian 	不見	c=4 d=6.27047e-10 t=125272
bu jiao 	補繳	c=4 d=1.59283e-06 t=125272
bu jie 	不接	c=3 d=0.159614 t=125272
bu jin qu 	不進去	c=1 d=0.806541 t=125272
bu jing 	不精	c=1 d=8.04662e-238 t=125272
bu jiu 	不久	c=7 d=0.000141247 t=125272
bu jiu 	不就	c=1 d=1.13937e-35 t=125272
bu jiu shi 	不就是	c=3 d=4.69196e-10 t=125272
bu ju 	佈局	c=13 d=6.27474e-18 t=125272
bu jue de 	不覺得	c=2 d=1.79158e-07 t=125272
bu kai 	不開	c=4 d=3.14448e-37 t=125272
bu kai xin 	不開心	c=1 d=9.02019e-170 t=125272
bu kan 	不看	c=6 d=1.22623e-17 t=125272
bu kao lv 	不考慮	c=2 d=3.53131e-49 t=125272
bu kao ping 	不考評	c=3 d=4.2924e-198 t=125272
bu kao pu 	不靠譜	c=1 d=1.31002e-118 t=125272
bu ke 	不可	c=2 d=0.000290183 t=125272
bu ke 	補課	c=8 d=0.000285862 t=125272
bu ke neng 	不可能	c=18 d=0.0272051 t=125272
bu ke qi 	不客氣	c=1 d=6.68048e-108 t=125272
bu ke yi 	不可以	c=11 d=1.58235e-62 t=125272
bu ku 	不哭	c=1 d=2.11351e-245 t=125272
bu ku 	不苦	c=1 d=1.06513e-07 t=125272
bu kui 	不愧	c=1 d=3.75175e-173 t=125272
bu lai 	不來	c=9 d=0.300674 t=125272
bu lai mei 	不來梅	c=1 d=7.74446e-82 t=125272
bu lan 	布蘭	c=1 d=3.97155e-137 t=125272
bu lan jiang 	布蘭將	c=1 d=3.579e-236 t=125272
bu lei 	不累	c=4 d=1.75479e-57 t=125272
bu leng 	不冷	c=3 d=0.00571306 t=125272
bu li 	不利	c=0 d=8.85607e-249 t=125272
bu li 	不理	c=3 d=0.0176857 t=125272
bu li wo 	不理我	c=1 d=1.48052e-175 t=125272
bu liang 	不良	c=3 d=0.0026852 t=125272
bu liao 	不了	c=16 d=0.268474 t=125272
bu liao 	不聊	c=1 d=0.00148106 t=125272
bu liao jie 	不瞭解	c=3 d=7.09599e-112 t=125272
bu lun 	不論	c=1 d=4.24546e-10 t=125272
bu luo 	部落	c=1 d=7.34156e-218 t=125272
bu mai 	不買	c=2 d=1.36043e-121 t=125272
bu mai 	不賣	c=1 d=4.7485e-92 t=125272
bu man 	不滿	c=1 d=1.24155e-16 t=125272
bu man zu 	不滿足	c=1 d=1.38555e-101 t=125272
bu mang 	不忙	c=5 d=6.49271e-08 t=125272
bu mao 	不毛	c=1 d=1.15052e-120 t=125272
bu men 	不悶	c=1 d=4.33569e-169 t=125272
bu men 	部門	c=9 d=3.3568e-41 t=125272
bu min 	不敏	c=1 d=2.25243e-53 t=125272
bu ming 	不明	c=2 d=1.90088e-86 t=125272
bu ming bai 	不明白	c=7 d=0.246597 t=125272
bu na 	不拿	c=2 d=2.10637e-29 t=125272
bu ne ge 	不呢個	c=1 d=9.27248e-172 t=125272
bu nen 	不嫩	c=1 d=9.18111e-84 t=125272
bu neng 	不能	c=51 d=0.241714 t=125272
bu neng bu 	不能補	c=1 d=1.94934e-88 t=125272
bu neng ni 	不能你	c=1 d=2.65361e-99 t=125272
bu nu li 	不努力	c=2 d=1.47474e-92 t=125272
bu o 	不哦	c=1 d=2.23436e-164 t=125272
bu pa 	不怕	c=12 d=0.0141931 t=125272
bu pang 	不胖	c=1 d=1 t=124972
bu pei 	不陪	c=1 d=8.44274e-127 t=125272
bu pian yi 	不便宜	c=2 d=0.0471227 t=125272
bu piao 	補票	c=1 d=1.21702e-134 t=125272
bu qi 	不起	c=1 d=4.43016e-11 t=125272
bu qi 	不齊	c=1 d=1.29528e-123 t=125272
bu qi lai 	不起來	c=3 d=9.43148e-40 t=125272
bu qi yong 	不啓用	c=1 d=1.19747e-120 t=125272
bu qing 	不清	c=2 d=7.79363e-127 t=125272
bu qing chu 	不清楚	c=10 d=6.10901e-56 t=125272
bu qing chun 	不清純	c=1 d=3.59029e-38 t=125272
bu qing xi 	不清晰	c=2 d=2.53098e-13 t=125272
bu qu 	不去	c=31 d=0.212248 t=125272
bu quan 	不全	c=2 d=0.00022941 t=125272
bu quan 	補全	c=2 d=0.00023056 t=125272
bu ran 	不然	c=36 d=0.0140859 t=125272
bu ran ni 	不然你	c=1 d=2.85388e-102 t=125272
bu rang 	不讓	c=11 d=3.85283e-05 t=125272
bu rang he zu 	不讓合租	c=1 d=0.000380129 t=125272
bu re 	不熱	c=2 d=6.3989e-72 t=125272
bu ren 	不忍	c=0 d=7.43555e-251 t=125272
bu ren 	不認	c=0 d=4.71426e-243 t=125272
bu ren shi 	不忍是	c=3 d=8.86598e-173 t=125272
bu ren shi 	不認識	c=2 d=1.51088e-61 t=125272
bu ren xin 	不忍心	c=1 d=8.40206e-129 t=125272
bu rong 	不容	c=1 d=0.00402593 t=125272
bu rong yi 	不容易	c=1 d=4.70991e-143 t=125272
bu ru 	不如	c=10 d=1.15722e-12 t=125272
bu sa 	布薩	c=0 d=2.07173e-217 t=125272
bu sa hou 	布薩後	c=1 d=2.08211e-216 t=125272
bu sang chi 	不桑吃	c=1 d=5.38367e-69 t=125272
bu se 	不澀	c=1 d=1.07047e-07 t=125272
bu shang 	不上	c=2 d=1.81915e-69 t=125272
bu shang ban 	不上班	c=2 d=2.18786e-05 t=125272
bu shang ke 	不上課	c=1 d=3.06906e-163 t=125272
bu shang qu 	不上去	c=1 d=1.63195e-203 t=125272
bu shang wang 	不上網	c=1 d=7.51101e-163 t=125272
bu shao 	不少	c=9 d=0.00096393 t=125272
bu she 	不捨	c=1 d=5.71288e-32 t=125272
bu shi 	不是	c=289 d=0.898392 t=125272
bu shi he 	不適合	c=2 d=0.955997 t=125272
bu shi hen 	不是很	c=0 d=2.14251e-83 t=125272
bu shi hen xian 	不是很閒	c=1 d=2.15325e-82 t=125272
bu shou 	不收	c=3 d=6.3085e-165 t=125272
bu shou qian 	不收錢	c=1 d=2.0576e-165 t=125272
bu shu 	不熟	c=2 d=8.62328e-170 t=125272
bu shu 	部署	c=3 d=2.89382 t=124037
bu shu fu 	不舒服	c=1 d=1.08665e-07 t=125272
bu shu yu 	不屬於	c=1 d=5.19661e-241 t=125272
bu shua 	不刷	c=1 d=5.48204e-223 t=125272
bu shuang 	不爽	c=5 d=0.326384 t=125272
bu shui 	不睡	c=3 d=0.0380983 t=125272
bu shui 	補水	c=1 d=2.40477e-117 t=125272
bu shuo 	不說	c=3 d=4.67701e-90 t=125272
bu shuo hua 	不說話	c=1 d=2.52498e-132 t=125272
bu si 	不死	c=2 d=7.133e-85 t=125272
bu si ji 	不司機	c=1 d=4.33168e-70 t=125272
bu suan 	不算	c=1 d=4.79152e-198 t=125272
bu ta 	不他	c=1 d=5.01478e-175 t=125272
bu tai 	不太	c=32 d=1.17715e-05 t=125272
bu tai hao 	不太好	c=1 d=4.26111e-112 t=125272
bu tai xiang 	不太想	c=2 d=1.16743e-174 t=125272
bu tan 	不談	c=1 d=3.35056e-166 t=125272
bu teng tong 	不疼痛	c=1 d=8.71384e-234 t=125272
bu tian 	不甜	c=1 d=5.31803e-248 t=125272
bu tiao 	不挑	c=1 d=9.785e-10 t=125272
bu tie 	補貼	c=1 d=2.04373e-203 t=125272
bu ting 	不停	c=1 d=1.09139e-117 t=125272
bu ting 	不聽	c=1 d=1.09686e-117 t=125272
bu ting hua 	不聽話	c=1 d=0.0434998 t=125272
bu tong 	不同	c=11 d=0.00201931 t=125272
bu tong 	不通	c=1 d=2.55242e-24 t=125272
bu tong yi 	不同意	c=1 d=5.00675e-68 t=125272
bu tui 	不退	c=1 d=6.76329e-194 t=125272
bu tui qian 	不退錢	c=1 d=0.12938 t=125272
bu wan 	不玩	c=4 d=5.02944e-33 t=125272
bu wan mei 	不完美	c=3 d=1.91833e-248 t=125272
bu wei 	不爲	c=2 d=2.41254e-08 t=125272
bu wen 	不穩	c=1 d=5.2363e-66 t=125272
bu wen ding 	不穩定	c=1 d=1.73009e-96 t=125272
bu wu 	不無	c=0 d=1.04814e-201 t=125272
bu wu 	不誤	c=1 d=2.35779e-33 t=125272
bu wu kan chai gong 	不誤砍柴功	c=1 d=2.3696e-32 t=125272
bu xi 	不惜	c=1 d=3.44379e-136 t=125272
bu xi guan 	不習慣	c=2 d=5.26917e-22 t=125272
bu xi huan 	不喜歡	c=10 d=0.000154549 t=125272
bu xi zao 	不洗澡	c=1 d=4.28116e-79 t=125272
bu xia qu 	不下去	c=1 d=2.72999e-168 t=125272
bu xian 	不限	c=2 d=5.6194e-240 t=125272
bu xian shi 	不顯示	c=8 d=2.91836e-12 t=125272
bu xiang 	不像	c=8 d=3.38362e-17 t=125272
bu xiang 	不想	c=53 d=0.293638 t=125272
bu xiang chi 	不想吃	c=1 d=5.0085e-219 t=125272
bu xiang huan 	不想換	c=1 d=0.000788798 t=125272
bu xiang qu 	不想去	c=1 d=4.69356e-14 t=125272
bu xiang shuo 	不想說	c=1 d=1.18656e-130 t=125272
bu xiang yao 	不想要	c=1 d=5.27152e-86 t=125272
bu xiao 	不小	c=1 d=1.25007e-67 t=125272
bu xiao 	不笑	c=1 d=1.56559e-09 t=125272
bu xiao de 	不小的	c=3 d=1.37223e-232 t=125272
bu xiao de 	不曉得	c=2 d=1.37865e-232 t=125272
bu xie 	不寫	c=4 d=0.000547581 t=125272
bu xin 	不信	c=6 d=1.38149 t=125272
bu xin la dao 	不信拉到	c=1 d=5.25288e-15 t=125272
bu xing 	不行	c=37 d=0.164478 t=125272
bu xiong 	不兇	c=1 d=8.92979e-81 t=125272
bu xu yao 	不需要	c=24 d=3.98371e-26 t=125272
bu xu yuan 	不許願	c=1 d=3.67859e-206 t=125272
bu yai 	不崖	c=1 d=2.07678e-39 t=125272
bu yao 	不要	c=76 d=0.0773047 t=125272
bu yao lian 	不要臉	c=2 d=1.28319e-158 t=125272
bu yao qian 	不要錢	c=2 d=2.74487e-85 t=125272
bu ye 	不也	c=1 d=5.3991e-132 t=125272
bu yi 	不宜	c=5 d=2.90223e-35 t=125272
bu yi ding 	不一定	c=1 d=3.55831e-21 t=125272
bu yi yang 	不一樣	c=7 d=0.0328863 t=125272
bu yi yang ba 	不一樣吧	c=1 d=1.04376e-92 t=125272
bu ying gai 	不應該	c=7 d=1.39344e-72 t=125272
bu ying xiang 	不影響	c=2 d=5.27549e-183 t=125272
bu yong 	不用	c=77 d=0.486557 t=125272
bu yu kuai 	不愉快	c=1 d=1.09575e-105 t=125272
bu yuan 	不遠	c=11 d=7.6242e-07 t=125272
bu yuan 	不願	c=2 d=5.19707e-07 t=125272
bu yuan yi 	不願意	c=2 d=4.97763e-07 t=125272
bu yun xu 	不允許	c=1 d=3.69703e-206 t=125272
bu za yang 	不咋樣	c=2 d=1.68381e-93 t=125272
bu zai 	不再	c=8 d=0.194952 t=125272
bu zai 	不在	c=3 d=0.000163287 t=125272
bu zai xian 	不在線	c=1 d=9.83405e-10 t=125272
bu zen me 	不怎麼	c=3 d=3.16057e-97 t=125272
bu zhai diao 	不摘掉	c=1 d=2.41166e-180 t=125272
bu zhao 	不着	c=2 d=3.36023e-53 t=125272
bu zhen 	不振	c=0 d=2.77021e-194 t=125272
bu zhen jing 	不振經	c=1 d=2.7841e-193 t=125272
bu zheng 	不爭	c=0 d=4.28073e-167 t=125272
bu zheng qu 	不爭去	c=1 d=4.3022e-166 t=125272
bu zhi 	不值	c=1 d=8.71263e-203 t=125272
bu zhi 	不知	c=15 d=2.44892e-37 t=125272
bu zhi chi 	不知吃	c=9 d=3.87862e-35 t=125272
bu zhi da 	不直達	c=1 d=3.13842e-220 t=125272
bu zhi dao 	不知道	c=120 d=1.21977 t=125272
bu zhi dao de 	不支倒地	c=1 d=7.09508e-228 t=125272
bu zhi dia 	不知嗲	c=1 d=2.16252e-250 t=125272
bu zhi duo 	不之多	c=1 d=6.28115e-30 t=125272
